Complexity metrics,星期二, 26 三月 2019 13:55:38 CST
Method,ev(G),iv(G),v(G)
"Factor.Factor(String)",1,9,10
"Factor.Factor(String,boolean)",1,14,14
"Factor.Factor(int,BigInteger,BigInteger)",1,1,1
"Factor.derivation()",2,5,9
"Factor.getCoef()",1,1,1
"Factor.getForm()",1,1,1
"Factor.getIndex()",1,1,1
"Factor.replaceOp(String)",1,1,1
"Main.main(String[])",1,2,2
"Monomial.Monomial(BigInteger,BigInteger,BigInteger,BigInteger)",1,1,1
"Monomial.Monomial(String)",1,3,4
"Monomial.addFactor(Factor)",2,2,6
"Monomial.derivation()",1,1,1
"Monomial.getA()",1,1,1
"Monomial.getIndexB()",1,1,1
"Monomial.getIndexC()",1,1,1
"Monomial.getK()",1,1,1
"Monomial.toString()",2,11,12
"MyList.MyList(BigInteger,BigInteger,BigInteger)",1,1,1
"MyList.equals(Object)",1,1,1
"MyList.hashCode()",1,1,1
"Polynomial.Polynomial()",1,1,1
"Polynomial.Polynomial(String)",1,4,4
"Polynomial.addItem(Monomial)",2,2,3
"Polynomial.addPoly(Polynomial)",1,2,2
"Polynomial.derivation()",1,2,2
"Polynomial.getPoly()",1,2,2
"Polynomial.toString()",5,4,6
"Test.main(String[])",1,2,2
"TestFactor.main(String[])",1,1,1
"TestMonomial.main(String[])",1,1,2

Class,OCavg,WMC
"Factor",4.62,37
"Main",1.00,1
"Monomial",3.11,28
"MyList",1.00,3
"Polynomial",2.86,20
"TempTrash",n/a,0
"Test",2.00,2
"TestFactor",1.00,1
"TestMonomial",2.00,2

Package,v(G)avg,v(G)tot
"",3.10,96

Module,v(G)avg,v(G)tot
"MyPolyDeriPlus",3.10,96

Project,v(G)avg,v(G)tot
"project",3.10,96

