Complexity metrics,星期二, 26 三月 2019 14:57:24 CST
Method,ev(G),iv(G),v(G)
"expression.Expression.ExprReplace(String)",1,3,3
"expression.Expression.Expression()",1,1,1
"expression.Expression.Expression(String)",1,3,3
"expression.Expression.addItem(Term)",1,1,1
"expression.Expression.addTerms(ArrayList<Term>)",1,1,1
"expression.Expression.diff()",1,2,2
"expression.Expression.getExprList(String)",1,2,2
"expression.Expression.toString()",1,2,2
"expression.Main.main(String[])",1,2,2
"expression.Term.Term()",1,1,1
"expression.Term.Term(String)",1,2,2
"expression.Term.Term(String,ArrayList<String>)",2,11,16
"expression.Term.addFactor(Factor)",2,2,2
"expression.Term.diff()",1,3,3
"expression.Term.getOtherFactors(int)",3,3,3
"expression.Term.toString()",3,2,3
"expression.exprhandler.BracketsHandler.getExpr(String)",5,5,5
"expression.exprhandler.BracketsHandler.isMatch(String)",7,5,7
"expression.exprhandler.ExprCheck.checkConstFactor(String)",1,2,2
"expression.exprhandler.ExprCheck.checkCosFactor(String)",1,2,2
"expression.exprhandler.ExprCheck.checkExprFactor(String)",1,2,2
"expression.exprhandler.ExprCheck.checkFactor(String)",1,2,2
"expression.exprhandler.ExprCheck.checkPowFactor(String)",1,2,2
"expression.exprhandler.ExprCheck.checkSinFactor(String)",1,2,2
"expression.exprhandler.ExprCheck.formatCheck(String)",1,4,4
"expression.exprhandler.ExprCheck.formatError()",1,1,1
"expression.exprhandler.ExprCheck.replaceOp(String)",1,1,1
"expression.exprhandler.ExprCheck.whatFactor(String)",6,6,6
"expression.factor.ConstFactor.ConstFactor(BigInteger)",1,1,1
"expression.factor.ConstFactor.ConstFactor(String)",1,1,1
"expression.factor.ConstFactor.diff()",1,1,1
"expression.factor.ConstFactor.getCoef()",1,1,1
"expression.factor.ConstFactor.getIndex()",1,1,1
"expression.factor.ConstFactor.mul(ConstFactor)",1,1,1
"expression.factor.ConstFactor.toString()",1,1,1
"expression.factor.CosFactor.CosFactor(BigInteger,Factor)",1,2,2
"expression.factor.CosFactor.CosFactor(String,String)",1,3,3
"expression.factor.CosFactor.diff()",2,1,2
"expression.factor.CosFactor.getIndex()",1,1,1
"expression.factor.CosFactor.toString()",1,3,3
"expression.factor.ExprFactor.ExprFactor(String)",1,1,1
"expression.factor.ExprFactor.ExprFactor(String,String)",1,2,2
"expression.factor.ExprFactor.diff()",1,1,1
"expression.factor.ExprFactor.getFormattedExpr(String)",1,4,4
"expression.factor.ExprFactor.getIndex()",1,1,1
"expression.factor.ExprFactor.toString()",1,1,1
"expression.factor.PowFactor.PowFactor(BigInteger)",1,1,1
"expression.factor.PowFactor.PowFactor(String)",1,3,3
"expression.factor.PowFactor.diff()",2,2,3
"expression.factor.PowFactor.getIndex()",1,1,1
"expression.factor.PowFactor.mul(PowFactor)",1,1,1
"expression.factor.PowFactor.toString()",1,3,3
"expression.factor.SinFactor.SinFactor(BigInteger,Factor)",1,2,2
"expression.factor.SinFactor.SinFactor(String,String)",1,3,3
"expression.factor.SinFactor.diff()",2,1,2
"expression.factor.SinFactor.getIndex()",1,1,1
"expression.factor.SinFactor.toString()",1,3,3

Class,OCavg,WMC
"expression.Expression",1.88,15
"expression.Main",1.00,1
"expression.Term",3.86,27
"expression.exprhandler.BracketsHandler",6.00,12
"expression.exprhandler.ExprCheck",2.40,24
"expression.factor.ConstFactor",1.00,7
"expression.factor.CosFactor",2.20,11
"expression.factor.ExprFactor",1.50,9
"expression.factor.Factor",n/a,0
"expression.factor.PowFactor",2.00,12
"expression.factor.SinFactor",2.20,11

Package,v(G)avg,v(G)tot
"expression",2.94,47
"expression.exprhandler",3.00,36
"expression.factor",1.76,51

Module,v(G)avg,v(G)tot
"MyPolyDeriFinal",2.35,134

Project,v(G)avg,v(G)tot
"project",2.35,134

