Complexity metrics,星期二, 23 四月 2019 12:25:33 CST
Method,ev(G),iv(G),v(G)
"SelfTestMainClassForTimableOutput.main(String[])",1,1,1
"TestInput.main(String[])",3,3,3
"TestRequest.main(String[])",1,2,2
"oocourse.elevator3.Main.main(String[])",1,1,1
"oocourse.elevator3.data.Dispatcher.Dispatcher(WaitingQueue,Elevator)",1,1,1
"oocourse.elevator3.data.Passengers.getFirstRequest()",1,1,1
"oocourse.elevator3.data.Passengers.getRequest(int)",1,1,1
"oocourse.elevator3.data.Passengers.hasPassenger(int)",3,2,3
"oocourse.elevator3.data.Passengers.isEmpty()",1,1,1
"oocourse.elevator3.data.Passengers.nextPassenger(int)",3,3,3
"oocourse.elevator3.data.Passengers.putRequest(Request)",1,1,1
"oocourse.elevator3.data.Passengers.remove(int)",1,1,1
"oocourse.elevator3.data.Passengers.size()",1,1,1
"oocourse.elevator3.data.Request.Request(PersonRequest)",1,8,8
"oocourse.elevator3.data.Request.changeMainRqst()",1,1,1
"oocourse.elevator3.data.Request.contains(EleId)",2,1,2
"oocourse.elevator3.data.Request.getFromFloor()",1,1,1
"oocourse.elevator3.data.Request.getOptEleList()",1,1,1
"oocourse.elevator3.data.Request.getOptEleStr()",1,1,1
"oocourse.elevator3.data.Request.getPersonId()",1,1,1
"oocourse.elevator3.data.Request.getStatus()",2,1,2
"oocourse.elevator3.data.Request.getToFloor()",1,1,1
"oocourse.elevator3.data.Request.hasChildRqst()",2,1,2
"oocourse.elevator3.data.Request.resolveRequest(int,int,int)",1,7,13
"oocourse.elevator3.data.Request.toString()",1,1,1
"oocourse.elevator3.data.RequestQueue.InputEnd()",1,1,1
"oocourse.elevator3.data.RequestQueue.doNotify()",1,1,1
"oocourse.elevator3.data.RequestQueue.getRequest()",3,4,5
"oocourse.elevator3.data.RequestQueue.isEmpty()",1,1,1
"oocourse.elevator3.data.RequestQueue.putRequest(Request)",1,1,1
"oocourse.elevator3.data.RequestQueue.setInputEndTag(boolean)",1,1,1
"oocourse.elevator3.data.WaitingQueue.getFirstRequest()",1,1,1
"oocourse.elevator3.data.WaitingQueue.getRequest(int)",1,1,1
"oocourse.elevator3.data.WaitingQueue.hasWaitRqst(int,Status,boolean)",4,5,6
"oocourse.elevator3.data.WaitingQueue.isEmpty()",1,1,1
"oocourse.elevator3.data.WaitingQueue.isMainCtrlEndTag()",1,1,1
"oocourse.elevator3.data.WaitingQueue.nextWaitRqst(int,Status,boolean)",4,6,6
"oocourse.elevator3.data.WaitingQueue.putRequest(Request)",1,1,1
"oocourse.elevator3.data.WaitingQueue.remove(int)",1,1,1
"oocourse.elevator3.data.WaitingQueue.setMainCtrlEndTag(boolean)",1,1,1
"oocourse.elevator3.data.WaitingQueue.size()",1,1,1
"oocourse.elevator3.thread.Elevator.Elevator(String,ArrayList<Integer>,long,long,int,RequestQueue,WaitingQueue)",1,1,1
"oocourse.elevator3.thread.Elevator.getCurrentFloor()",1,1,1
"oocourse.elevator3.thread.Elevator.getNumOfPsgers()",1,1,1
"oocourse.elevator3.thread.Elevator.getStatus()",1,1,1
"oocourse.elevator3.thread.Elevator.isEmpty()",1,1,1
"oocourse.elevator3.thread.Elevator.isFull()",2,1,2
"oocourse.elevator3.thread.Elevator.isStill()",2,3,4
"oocourse.elevator3.thread.Elevator.move()",2,5,7
"oocourse.elevator3.thread.Elevator.run()",3,7,8
"oocourse.elevator3.thread.Elevator.sendPassengers()",1,3,3
"oocourse.elevator3.thread.Elevator.takePassengers()",1,3,3
"oocourse.elevator3.thread.Elevator.updateStatus()",3,4,5
"oocourse.elevator3.thread.MainCtrl.MainCtrl(RequestQueue)",1,1,1
"oocourse.elevator3.thread.MainCtrl.dispatchRequest(Request)",11,13,19
"oocourse.elevator3.thread.MainCtrl.run()",4,7,8
"oocourse.elevator3.thread.RqstInputDevice.RqstInputDevice(RequestQueue)",1,1,1
"oocourse.elevator3.thread.RqstInputDevice.run()",3,4,4

Class,OCavg,WMC
"SelfTestMainClassForTimableOutput",1.00,1
"TestInput",3.00,3
"TestRequest",2.00,2
"oocourse.elevator3.Main",1.00,1
"oocourse.elevator3.data.Config",n/a,0
"oocourse.elevator3.data.Config.EleId",n/a,0
"oocourse.elevator3.data.Config.Status",n/a,0
"oocourse.elevator3.data.Dispatcher",1.00,1
"oocourse.elevator3.data.Passengers",1.50,12
"oocourse.elevator3.data.Request",2.58,31
"oocourse.elevator3.data.RequestQueue",1.33,8
"oocourse.elevator3.data.WaitingQueue",1.60,16
"oocourse.elevator3.thread.Elevator",2.42,29
"oocourse.elevator3.thread.MainCtrl",8.00,24
"oocourse.elevator3.thread.RqstInputDevice",2.00,4

Package,v(G)avg,v(G)tot
"",2.00,6
"oocourse.elevator3",1.00,1
"oocourse.elevator3.data",2.08,77
"oocourse.elevator3.thread",4.12,70

Module,v(G)avg,v(G)tot
"homework7-SS-Elevators",2.66,154

Project,v(G)avg,v(G)tot
"project",2.66,154

